x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,log_zinc,optional,mean,sd,X0.025quant,X0.5quant,X0.975quant,pr2
180874,333339,11.2,93,285,1096,7.32,0,15.4,1,1,1,W,20,6.99942246750796,TRUE,6.83653719894884,0.192134256793403,6.45817323412439,6.8370091141821,7.21229189960013,0.915462156478212
180969,333252,2.5,31,183,504,8.815,0.113932,8.4,1,1,0,Ah,130,6.22257626807137,TRUE,6.1972751747232,0.168515752189278,5.86702714541731,6.19699281611982,6.52904818959725,0.915462156478212
181011,333161,2,27,130,326,8.937,0.168336,9.1,1,1,0,Ah,220,5.78689738136671,TRUE,5.81584289219392,0.167232931217109,5.48771281909721,5.81575292848063,6.14456589420739,0.915462156478212
180830,333246,9.5,86,240,1032,7.702,0,16.2,1,1,1,W,10,6.93925394604151,TRUE,6.78989244313022,0.200577871780062,6.39513806062549,6.7902848465171,7.18242398411582,0.915462156478212
180763,333104,7,74,133,606,7.16,0.0122243,16,1,1,1,W,10,6.40687998606931,TRUE,6.45860984557629,0.183914528551816,6.09751968505816,6.45863520554184,6.81964651600333,0.915462156478212
180694,332972,7.1,69,148,711,7.1,0.0122243,16,1,1,1,W,10,6.56667242980324,TRUE,6.44949172770932,0.177978506193981,6.09999547320984,6.44953265921526,6.7988433991472,0.915462156478212
180625,332847,8.7,69,207,735,7.02,0,13.7,1,1,1,W,10,6.59987049921284,TRUE,6.57438768265332,0.183670583249868,6.21348416898706,6.57450771973941,6.93469723833977,0.915462156478212
180555,332707,12.9,95,284,1052,6.86,0,14.8,1,1,1,NA,10,6.95844839329766,TRUE,6.82746452048819,0.197435994134374,6.43943800300235,6.82763189357671,7.21454809935452,0.915462156478212
180642,332708,5.5,53,194,673,8.908,0.0703468,10.2,1,1,1,Am,80,6.51174532964473,TRUE,6.34225032206993,0.15049282857922,6.04643129562502,6.34234249847406,6.63760941586013,0.915462156478212
180704,332717,2.8,35,123,402,8.99,0.0975136,7.2,1,1,1,Am,140,5.99645208861902,TRUE,6.10656231113228,0.14666631473314,5.81946772431033,6.10621843720846,6.39553954761606,0.915462156478212
180704,332664,2.9,35,110,343,8.83,0.113932,7.2,1,1,1,Ag,160,5.83773044716594,TRUE,6.04202025973177,0.163268779117061,5.72171332485624,6.04193431487426,6.36279169886067,0.915462156478212
181153,332925,1.7,24,85,218,9.02,0.342321,7,1,2,0,Ah,440,5.38449506278909,TRUE,5.36038354384435,0.189617994119497,4.9885437186493,5.36019009886155,5.73332450704861,0.915462156478212
181147,332823,1.4,26,75,200,8.976,0.385804,6.9,1,2,0,W,490,5.29831736654804,TRUE,5.30154593584199,0.156749529987886,4.99365027399062,5.30159071516639,5.6092908767297,0.915462156478212
181167,332778,1.5,22,76,194,8.973,0.429289,6.3,1,2,0,W,530,5.26785815906333,TRUE,5.23485216600064,0.167713891607513,4.90519561014435,5.23500845047077,5.56372667668467,0.915462156478212
181008,332777,1.3,27,73,207,8.507,0.315116,5.6,1,2,0,Ab,400,5.33271879326537,TRUE,5.32483234094936,0.165677372686164,4.9997601556959,5.32474896536305,5.65047205050022,0.915462156478212
180973,332687,1.3,24,67,180,8.743,0.320574,4.4,1,2,0,Ag,400,5.19295685089021,TRUE,5.29561146279768,0.173306220744372,4.95591274964576,5.29538592409735,5.63658976885201,0.915462156478212
180916,332753,1.8,22,87,240,8.973,0.249863,5.3,1,2,0,Ah,330,5.48063892334199,TRUE,5.43950788244061,0.159916962119636,5.12653689977378,5.43911540231133,5.75464238999263,0.915462156478212
181352,332946,1.5,21,65,180,9.043,0.489064,4.8,1,2,0,Ag,630,5.19295685089021,TRUE,5.15060715892941,0.210501079721556,4.73618173980258,5.15099824253396,5.56283805514021,0.915462156478212
181133,332570,1.3,29,78,208,8.688,0.472778,2.6,1,2,0,B,570,5.33753807970132,TRUE,5.22822150030019,0.217941319364457,4.79841024442806,5.22891349966797,5.65417776711793,0.915462156478212
180878,332489,1.3,21,64,198,8.727,0.287957,1,1,2,0,Ag,390,5.28826703069454,TRUE,5.44254306692741,0.171373821661977,5.10608430983431,5.44257272295077,5.77883196242156,0.915462156478212
180829,332450,2.1,27,77,250,8.328,0.271622,2.4,1,2,0,Ah,360,5.52146091786225,TRUE,5.53221304037158,0.179723057004248,5.17959741172284,5.53212221159669,5.88543551801355,0.915462156478212
180954,332399,1.2,26,80,192,7.971,0.385807,1.9,1,2,0,B,500,5.25749537202778,TRUE,5.28920635375608,0.178927111617695,4.93814291160068,5.28910220407976,5.64091266538904,0.915462156478212
180956,332318,1.6,27,82,213,7.809,0.418417,3.1,1,2,0,B,550,5.36129216570943,TRUE,5.28729301894865,0.193727927815365,4.90554135331583,5.28778559970106,5.66624457181891,0.915462156478212
180710,332330,3,32,97,321,6.986,0.244474,1.6,1,2,0,Ab,340,5.77144112313002,TRUE,5.68982536682239,0.190282152707412,5.31671431137208,5.68964905988904,6.06394461733463,0.915462156478212
180632,332445,5.8,50,166,569,7.756,0.135709,3.5,1,2,0,Ab,210,6.34388043412633,TRUE,6.16005685285807,0.183574964217845,5.80092564441872,6.1596051238637,6.52167734615856,0.915462156478212
180530,332538,7.9,67,217,833,7.784,0.0484965,8.1,1,1,1,Am,60,6.72503364216684,TRUE,6.65436293438053,0.165028093523665,6.33056442001799,6.65426538323402,6.97872083974506,0.915462156478212
180478,332578,8.1,77,219,906,7,0,7.9,1,1,1,W,10,6.80903930604298,TRUE,6.8877315235834,0.18480436678051,6.52399569716116,6.88803420185772,7.24974621017405,0.915462156478212
180383,332476,14.1,108,405,1454,6.92,0.00135803,9.5,1,1,1,W,20,7.28207365809346,TRUE,7.00371642418288,0.204091806344159,6.60205714522981,7.00414616248653,7.40302034515215,0.915462156478212
180494,332330,2.4,32,102,298,7.516,0.135709,1.4,1,2,0,Am,170,5.6970934865054,TRUE,5.96746684871075,0.185248666631591,5.60198287602127,5.96812659349509,6.32926287387142,0.915462156478212
180561,332193,1.2,21,48,167,8.18,0.26622,NA,1,2,0,Ga,320,5.11799381241676,TRUE,5.28752766225966,0.189819446348361,4.9174316590794,5.28676647591656,5.66173169091286,0.915462156478212
180451,332175,1.7,22,65,176,8.694,0.211843,NA,1,2,0,W,260,5.17048399503815,TRUE,5.46853976879614,0.206117397796202,5.06525722411372,5.46830335299021,5.87298604940821,0.915462156478212
180410,332031,1.3,21,62,258,9.28,0.320572,2,1,2,0,Ah,360,5.55295958492162,TRUE,5.51585260184809,0.182358964452424,5.15857512580035,5.51554207648584,5.8747881505652,0.915462156478212
180355,332299,4.2,51,281,746,7.94,0.081222,5.1,1,2,0,Ah,100,6.61472560020376,TRUE,6.45670547990891,0.157893713158265,6.14690284125162,6.45661370401211,6.76709435971145,0.915462156478212
180292,332157,4.3,50,294,746,6.36,0.190086,5.3,1,2,0,Am,200,6.61472560020376,TRUE,6.29313491139278,0.191634103137653,5.92286657559028,6.29107923718151,6.67452983707732,0.915462156478212
180283,332014,3.1,38,211,464,7.78,0.287941,4.5,1,2,0,Ah,320,6.13988455222626,TRUE,5.89956713187772,0.180421476843703,5.54798959552873,5.89864514105358,6.25617150245949,0.915462156478212
180282,331861,1.7,26,135,365,8.18,0.423826,4.9,1,2,0,Ah,480,5.89989735358249,TRUE,5.60844101901633,0.179422754403077,5.25847192748958,5.60765443354584,5.96267146876754,0.915462156478212
180270,331707,1.7,24,112,282,9.42,0.554289,4.5,1,2,0,Bw,660,5.64190707093811,TRUE,5.49279756827741,0.167244002677156,5.16383973782973,5.49312376337579,5.81994712293596,0.915462156478212
180199,331591,2.1,32,162,375,8.867,0.603225,5.5,1,2,0,Bw,690,5.92692602597041,TRUE,5.57514065879718,0.184553733198122,5.20681747615091,5.57760844542921,5.93018493490344,0.915462156478212
180135,331552,1.7,24,94,222,8.292,0.614071,3.4,1,2,0,Ab,710,5.40267738187228,TRUE,5.38592815059164,0.18546925088006,5.0189115241439,5.38700505690597,5.74707584731791,0.915462156478212
180237,332351,8.2,47,191,812,8.06,0.00135803,11.1,1,1,1,Ah,10,6.69950034016168,TRUE,6.9645736631019,0.155227519526904,6.65957964171317,6.96465986251809,7.26900401088167,0.915462156478212
180103,332297,17,128,405,1548,7.98,0,12.3,1,1,1,W,10,7.34471905414967,TRUE,7.26191671382854,0.169852179929402,6.92580085389316,7.26284132055119,7.59289641472291,0.915462156478212
179973,332255,12,117,654,1839,7.9,0.0054321,16.5,1,1,1,W,10,7.51697722460432,TRUE,7.27374095917783,0.182037158903061,6.91476009863495,7.27442253383792,7.62900076770857,0.915462156478212
179826,332217,9.4,104,482,1528,7.74,0.0054321,13.9,1,1,1,W,10,7.33171496972647,TRUE,7.1246841271265,0.188037851767598,6.75398149875891,7.12531576333517,7.49199412825795,0.915462156478212
179687,332161,8.2,76,276,933,7.552,0.0054321,8.1,1,1,1,W,20,6.83840520084734,TRUE,6.9207002765666,0.184367000204204,6.55778244186152,6.92108109411505,7.28153118370509,0.915462156478212
179792,332035,2.6,36,180,432,7.76,0.146578,3.1,1,1,0,Fw,200,6.06842558824411,TRUE,5.97895507550517,0.161322925594704,5.66310886535773,5.97861813283326,6.29662412121597,0.915462156478212
179902,332113,3.5,34,207,550,6.74,0.135684,5.8,1,1,0,Fw,140,6.30991827822652,TRUE,6.33756099932381,0.160888918101167,6.02187086167976,6.33749005740015,6.65371676729546,0.915462156478212
180100,332213,10.9,90,541,1571,6.68,0.0703333,10.2,1,1,1,Fw,70,7.35946763825562,TRUE,7.07122483136003,0.204712859362501,6.66918743342661,7.07146604509978,7.47199256647238,0.915462156478212
179604,332059,7.3,80,310,1190,7.4,0.0484831,12,1,1,1,W,20,7.08170858610557,TRUE,6.69754074471231,0.181881731293608,6.33957068794567,6.6979866328261,7.05304810683674,0.915462156478212
179526,331936,9.4,78,210,907,7.44,0.0054321,14.1,1,1,1,W,10,6.81014245011514,TRUE,6.6661408983055,0.195084606725942,6.28126046693338,6.66688963122246,7.04700615988617,0.915462156478212
179495,331770,8.3,77,158,761,7.36,0.0054321,14.5,1,1,1,Fw,10,6.63463335786169,TRUE,6.49980650458701,0.20016524787595,6.10591764961514,6.50018861904465,6.89148163729751,0.915462156478212
179489,331633,7,65,141,659,7.2,0.0316663,14.8,1,1,1,W,20,6.49072353450251,TRUE,6.23604004526271,0.178224269194647,5.88650089489497,6.23595645615814,6.58609345101772,0.915462156478212
179414,331494,6.8,66,144,643,7.22,0.0122243,13.3,1,1,1,Ah,10,6.46614472423762,TRUE,6.22631658310728,0.170216185189691,5.8921841342234,6.22629598817107,6.56061090033215,0.915462156478212
179334,331366,7.4,72,181,801,7.36,0.0122243,15.2,1,1,1,W,20,6.68586094706836,TRUE,6.49807142190787,0.189158763902501,6.12658694205094,6.49811771657939,6.8692975648299,0.915462156478212
179255,331264,6.6,75,173,784,5.18,0.0373395,11.4,1,1,1,W,20,6.66440902035041,TRUE,6.67303594644356,0.187773412513387,6.30339940563254,6.67339989755414,7.04066133773239,0.915462156478212
179470,331125,7.8,75,399,1060,5.8,0.211846,9,1,1,0,Ah,270,6.96602418710611,TRUE,6.3011649104398,0.245061891921516,5.82628840608848,6.30047944156865,6.77875249696642,0.915462156478212
179692,330933,0.7,22,45,119,7.64,0.451037,3.6,1,1,1,Fw,560,4.77912349311153,TRUE,5.15838502702431,0.204695694604458,4.75640257174672,5.15866553433448,5.55888252576634,0.915462156478212
179852,330801,3.4,55,325,778,6.32,0.575877,6.9,1,1,0,Bw,750,6.65672652417839,TRUE,5.79597200905677,0.252254406321229,5.31119525237101,5.79423565049026,6.28736318412548,0.915462156478212
179140,330955,3.9,47,268,703,5.76,0.0756869,7,1,1,1,Ab,80,6.55535689181067,TRUE,6.60217655778105,0.165349843112236,6.27726731956336,6.6022776457668,6.92656271700833,0.915462156478212
179128,330867,3.5,46,252,676,6.48,0.12481,6.2,1,1,1,Ab,130,6.51619307604296,TRUE,6.43183717405692,0.142582727889127,6.15194995284728,6.4318083954155,6.7119534319436,0.915462156478212
179065,330864,4.7,55,315,793,6.48,0.103024,6.5,1,1,0,W,110,6.67582322163485,TRUE,6.58269210070869,0.123906593854328,6.33849568335869,6.58297610169601,6.82521402298176,0.915462156478212
179007,330727,3.9,49,260,685,6.32,0.157469,5.7,1,1,0,W,200,6.52941883826223,TRUE,6.41365325249299,0.169600905907733,6.08082957349049,6.41356074679535,6.74707075969862,0.915462156478212
179110,330758,3.1,39,237,593,6.32,0.200976,7,1,1,1,Ah,260,6.38519439899773,TRUE,6.15168801689375,0.139990583919118,5.8769209521857,6.15164698042653,6.42675451618413,0.915462156478212
179032,330645,2.9,45,228,549,6.16,0.200976,7.3,1,1,0,W,270,6.30809844150953,TRUE,6.281539055555,0.142175316965935,6.00241879958934,6.28152586560194,6.56076819640086,0.915462156478212
179095,330636,3.9,48,241,680,6.56,0.26622,8.2,1,1,0,W,320,6.52209279817015,TRUE,5.97754226290389,0.136240122303722,5.70941006166719,5.97774442556007,6.24454059251827,0.915462156478212
179058,330510,2.7,36,201,539,6.9,0.298835,4.3,1,1,0,Ah,360,6.289715570909,TRUE,5.96196834306587,0.154381545880518,5.65899040765577,5.96189755038722,6.2654060973408,0.915462156478212
178810,330666,2.5,36,204,560,7.54,0.0812247,4.4,1,1,1,Am,80,6.32793678372919,TRUE,6.40149974859533,0.205414311666763,5.99820338414664,6.40150725172804,6.80470475031913,0.915462156478212
178912,330779,5.6,68,429,1136,6.42,0.070355,8.2,1,1,1,W,100,7.0352685992811,TRUE,6.73803330395647,0.184664437577815,6.37487272378026,6.73824921520414,7.10004287452433,0.915462156478212
178981,330924,9.4,88,462,1383,6.28,0.0122243,8.5,1,1,1,W,70,7.23201033166476,TRUE,6.98631131182497,0.179434095804522,6.63305438717929,6.98671161408913,7.3373628006044,0.915462156478212
179076,331005,10.8,85,333,1161,6.34,0,9.6,1,1,1,W,20,7.05703698169789,TRUE,6.95113423096691,0.162883836023443,6.63040317137457,6.95149462939341,7.26984557550497,0.915462156478212
180151,330353,18.1,76,464,1672,7.307,0.0537723,17,1,1,1,W,50,7.42177579364465,TRUE,7.03622496515023,0.235623491131551,6.56523038993095,7.03977025143252,7.48837529203962,0.915462156478212
179211,331175,6.3,63,159,765,5.7,0.0593662,12.8,1,1,1,W,80,6.63987583382654,TRUE,6.67248055583316,0.191199091880049,6.2964936647325,6.67271354451379,7.04721638559384,0.915462156478212
181118,333214,2.1,32,116,279,7.72,0.211843,5.9,1,2,0,W,290,5.63121178182137,TRUE,5.65301510526404,0.147381323046917,5.36360223885946,5.65301991873022,5.94244053345302,0.915462156478212
179474,331304,1.8,25,81,241,7.932,0.12481,2.9,2,2,1,Ah,160,5.48479693349065,TRUE,5.75610678119832,0.184530035332097,5.39281566270184,5.75656602440071,6.11698850535125,0.915462156478212
179559,331423,2.2,27,131,317,7.82,0.12481,4.5,2,1,0,W,160,5.75890177387728,TRUE,5.55376057902079,0.169901711813521,5.22088167114424,5.55350422029825,5.88804059642126,0.915462156478212
179022,330873,2.8,36,216,545,8.575,0.0921516,10.7,2,1,0,W,140,6.30078579466324,TRUE,6.64277376408686,0.144460814187508,6.35838693616891,6.64300731557025,6.92579870086556,0.915462156478212
178953,330742,2.4,41,145,505,8.536,0.113941,9.4,2,1,0,W,150,6.22455842927536,TRUE,6.56448812874788,0.131009802684259,6.30581263363496,6.56492832857783,6.82062371400743,0.915462156478212
178875,330516,2.6,33,163,420,8.504,0.179216,9,2,1,0,Ah,220,6.04025471127741,TRUE,6.12555940738946,0.193443496743645,5.74457820952362,6.12594775676634,6.5042112300164,0.915462156478212
178803,330349,1.8,27,129,332,8.659,0.233596,7,2,1,0,Am,280,5.80513496891649,TRUE,5.89643701586241,0.181488013354384,5.54068371812384,5.89622753358107,6.25331228122292,0.915462156478212
179029,330394,2,38,148,400,7.633,0.336861,6.5,2,1,1,Am,450,5.99146454710798,TRUE,5.92273620453797,0.168058068217768,5.5931858595059,5.92256472823707,6.25321471131276,0.915462156478212
178605,330406,2.7,37,214,553,8.538,0.070355,9.4,2,1,1,Am,70,6.31535800152233,TRUE,6.31770948340313,0.207051143665133,5.91148015881472,6.31755810299831,6.72487346809699,0.915462156478212
178701,330557,2.7,34,226,577,7.68,0.0593662,10.2,2,1,0,Am,70,6.3578422665081,TRUE,6.37030273812312,0.195975790062481,5.9858877014207,6.3701713136525,6.75547335405585,0.915462156478212
179547,330245,0.9,19,54,155,7.564,0.255341,6.4,2,1,0,W,340,5.04342511691925,TRUE,5.19078263464954,0.203576295239061,4.79301431410509,5.19010414525182,5.59233873986289,0.915462156478212
179301,330179,0.9,22,70,224,7.76,0.364067,7.6,2,1,0,W,470,5.41164605185504,TRUE,5.25672403081278,0.18632619335286,4.89151173101516,5.25647667022752,5.62331535138676,0.915462156478212
179405,330567,0.4,26,73,180,7.653,0.429295,7,2,1,0,Am,630,5.19295685089021,TRUE,5.10937451483645,0.201404576403106,4.71422523527412,5.10926102904839,5.50521441804824,0.915462156478212
179462,330766,0.8,25,87,226,7.951,0.380328,5.6,2,1,0,Am,460,5.42053499927229,TRUE,5.36549350327769,0.207379594079951,4.95815733510944,5.3655761767602,5.77250028477689,0.915462156478212
179293,330797,0.4,22,76,186,8.176,0.249874,6.5,2,1,0,Am,320,5.2257466737132,TRUE,5.54869412507839,0.204617744601146,5.14753576787965,5.54898777363695,5.94836845647184,0.915462156478212
179180,330710,0.4,24,81,198,8.468,0.266212,6.6,2,1,0,Ah,320,5.28826703069454,TRUE,5.6735103355606,0.170963339285012,5.33795307610006,5.67356719196045,6.00872358692364,0.915462156478212
179206,330398,0.4,18,68,187,8.41,0.451037,5.9,2,1,0,W,540,5.23110861685459,TRUE,5.31519749362682,0.182222279557435,4.95746870078125,5.31520375563938,5.67303767304915,0.915462156478212
179618,330458,0.8,23,66,199,7.61,0.30971,6.5,2,1,0,W,420,5.29330482472449,TRUE,5.29269691661976,0.196120306529148,4.90831313709111,5.29243169967584,5.67856714195952,0.915462156478212
179782,330540,0.4,22,49,157,7.792,0.293359,6.4,2,1,0,SPO,380,5.05624580534831,TRUE,5.35862952537829,0.238546615354645,4.89801478566303,5.35603170358322,5.83293741868863,0.915462156478212
179980,330773,0.4,23,63,203,8.76,0.532351,7.2,2,2,0,W,500,5.31320597904179,TRUE,5.5887541708848,0.181340446969115,5.23207538587769,5.5890074710643,5.9440809962414,0.915462156478212
180067,331185,0.4,23,48,143,9.879,0.619513,6.6,2,3,0,Am,760,4.96284463025991,TRUE,4.94464012717019,0.204101481473719,4.54377307663349,4.94467988918141,5.34539427514768,0.915462156478212
180162,331387,0.2,23,51,136,9.097,0.684725,4.3,2,2,0,Ah,750,4.91265488573605,TRUE,4.96401235308271,0.211136085888743,4.54917578061678,4.96410349279164,5.37833585645661,0.915462156478212
180451,331473,0.2,18,50,117,9.095,0.809742,5.3,2,3,0,Fw,1000,4.76217393479776,TRUE,4.69095182791153,0.21981508642471,4.25761874602798,4.69151097953915,5.12105835341409,0.915462156478212
180328,331158,0.4,20,39,113,9.717,0.880389,4.1,2,3,0,Ah,860,4.72738781871234,TRUE,4.60780645366477,0.211530725368372,4.18939373242366,4.60886985802121,5.02029714306018,0.915462156478212
180276,330963,0.2,22,48,130,9.924,0.749591,6.1,2,3,0,Ah,680,4.86753445045558,TRUE,4.82795292004741,0.209153831822214,4.41667406411796,4.82816797921763,5.23805281463358,0.915462156478212
180114,330803,0.2,27,64,192,9.404,0.575752,7.5,2,3,0,Fw,500,5.25749537202778,TRUE,5.28372576318592,0.199696660332364,4.89292649729117,5.28326952720366,5.67698107201431,0.915462156478212
179881,330912,0.4,25,84,240,10.52,0.581484,8.8,2,3,0,STA,650,5.48063892334199,TRUE,5.39410915269914,0.180576805020804,5.03886745434469,5.39438845764421,5.74775503852864,0.915462156478212
179774,330921,0.2,30,67,221,8.84,0.49452,5.7,2,3,0,DEN,630,5.39816270151775,TRUE,5.3883102370833,0.169104295666958,5.05592402014005,5.38845149078018,5.72000441546315,0.915462156478212
179657,331150,0.2,23,49,140,8.472,0.32058,6.1,2,3,0,Fw,410,4.9416424226093,TRUE,5.18716730837397,0.196717412340195,4.80140761134641,5.18708996015032,5.57321800577058,0.915462156478212
179731,331245,0.2,24,48,128,9.634,0.336851,7.1,2,3,0,Ah,390,4.85203026391962,TRUE,4.99522420917531,0.180342175169037,4.64232060443845,4.99481645784082,5.35028564535153,0.915462156478212
179717,331441,0.2,21,56,166,9.206,0.249852,4.1,2,2,0,Ah,310,5.11198778835654,TRUE,5.21068969390624,0.201883084519493,4.81549001734325,5.21022275118261,5.60845831605828,0.915462156478212
179446,331422,0.2,24,65,191,8.47,0.0756869,6,2,1,0,Ah,70,5.25227342804663,TRUE,5.76200525278028,0.17172879323176,5.42573405112538,5.76193353493674,6.09870207624417,0.915462156478212
179524,331565,0.2,21,84,232,8.463,0.0756869,6.6,2,1,0,W,70,5.44673737166631,TRUE,5.79014949316358,0.1670673160103,5.46160270157945,5.79036308787128,6.11751480093971,0.915462156478212
179644,331730,0.2,23,75,203,9.691,0.162853,6.8,2,1,1,STA,150,5.31320597904179,TRUE,5.47004212096004,0.214198507652038,5.05238460058664,5.46908943254323,5.89305718318844,0.915462156478212
180321,330366,3.7,53,250,722,8.704,0.0974916,9.1,2,2,0,Bw,80,6.58202513889283,TRUE,6.61317641526952,0.219660775522749,6.1813542247127,6.6133115295667,7.04437260209829,0.915462156478212
180162,331837,0.2,33,81,210,9.42,0.440142,5.9,2,2,0,Ah,450,5.34710753071747,TRUE,5.39563876502003,0.17419665581067,5.05347401748492,5.39570566754259,5.737457873833,0.915462156478212
180029,331720,0.2,22,72,198,9.573,0.4619,4.9,2,2,0,Aa,530,5.28826703069454,TRUE,5.26068204479836,0.213524195430034,4.84173836472277,5.26054886924167,5.68044723151576,0.915462156478212
179797,331919,0.2,23,86,139,9.555,0.222701,7.1,2,1,0,W,240,4.93447393313069,TRUE,5.30833045079489,0.211773315341095,4.8991710845999,5.30643447932507,5.72715348534252,0.915462156478212
179642,331955,0.2,25,94,253,8.779,0.103024,8.1,2,1,1,Tv,70,5.53338948872752,TRUE,5.91027401783412,0.202265725036553,5.51171585361342,5.91106387759755,6.30446777727585,0.915462156478212
179849,332142,1.2,30,244,703,8.54,0.0921353,8.3,2,1,0,Fw,70,6.55535689181067,TRUE,6.60337769580539,0.145071414684275,6.31839446871781,6.6034328421575,6.88814480492913,0.915462156478212
180265,332297,2.4,47,297,832,8.809,0.0484884,10,2,1,0,Ah,60,6.72383244082121,TRUE,6.73018068300263,0.180047935565446,6.37626150834754,6.73029404749973,7.08345477312787,0.915462156478212
180107,332101,0.2,31,96,262,9.523,0.168331,5.9,2,1,0,Ah,190,5.5683445037611,TRUE,6.04079449253236,0.21979795853841,5.60642020549591,6.04266227758073,6.46549015737056,0.915462156478212
180462,331947,0.2,20,56,142,9.811,0.38581,5,2,2,0,Ah,450,4.95582705760126,TRUE,5.12302236221868,0.204140836273586,4.7234534277945,5.12257806851365,5.5249891724523,0.915462156478212
180478,331822,0.2,16,49,119,9.604,0.489064,4.5,2,2,0,Am,550,4.77912349311153,TRUE,4.95303820299877,0.190691466239675,4.57964881788355,4.95270959001202,5.32811803763775,0.915462156478212
180347,331700,0.2,17,50,152,9.732,0.57602,5.4,2,2,0,Am,650,5.02388052084628,TRUE,5.18951655048704,0.176128799461758,4.84279227357276,5.18980653680898,5.5344912067132,0.915462156478212
180862,333116,0.4,26,148,415,9.518,0.0812194,2.3,2,1,0,Am,100,6.0282785202307,TRUE,6.14701623554847,0.173765767124169,5.80517445358681,6.14722423877301,6.48761828433884,0.915462156478212
180700,332882,1.6,34,162,474,9.72,0.0373369,7.5,2,1,0,W,170,6.16120732169508,TRUE,6.30375845244035,0.155780167332132,5.99818791193756,6.3036481989034,6.60997822084828,0.915462156478212
180201,331160,0.8,18,37,126,9.036,0.771698,4.6,2,3,1,Ah,860,4.83628190695148,TRUE,4.79343316909605,0.190599765726727,4.41848964281091,4.79367827566,5.16700218168475,0.915462156478212
180173,331923,1.2,23,80,210,9.528,0.336829,5.8,2,2,0,W,410,5.34710753071747,TRUE,5.59400271080923,0.167644620044418,5.26498920654182,5.59397052246125,5.92310323141411,0.915462156478212
180923,332874,0.2,20,80,220,9.155,0.228123,4.4,3,1,0,Aa,290,5.39362754635236,TRUE,5.49850259006536,0.174906283050096,5.15532892046997,5.49843986346576,5.84206787654732,0.915462156478212
180467,331694,0.2,14,49,133,10.08,0.597761,4.4,3,2,0,Am,680,4.89034912822175,TRUE,4.89788525801508,0.187251559034729,4.53087648953851,4.89765007225682,5.26616574296824,0.915462156478212
179917,331325,0.8,46,42,141,9.97,0.44558,4.5,3,2,0,Am,540,4.94875989037817,TRUE,5.0263960384096,0.187719906492149,4.65820220212801,5.02627185839569,5.39531036714327,0.915462156478212
179822,331242,1,29,48,158,10.136,0.396675,5.2,3,2,0,Am,480,5.06259503302697,TRUE,4.99863258414405,0.190266271943544,4.62572048125717,4.99835817187923,5.37308189672549,0.915462156478212
179991,331069,0.8,19,41,129,10.32,0.581478,4.6,3,3,0,W,720,4.85981240436167,TRUE,4.97130343131076,0.203221551495521,4.57234377324852,4.97133746077455,5.37005535494212,0.915462156478212
